sku,msku,panels,Status,Stauts,,image,,,,,
Bts_Softtoy_Tata_fba,BTS_softtoy_Tata,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Bycf5UO7,Bycf5UO7,CSTE MEESHO,Active,stockupdate,,,#N/A,,,,
c8BLioor,c8BLioor,Rudrav Meesho,Inactive,block,,,#N/A,,,,
"CAAJU Animal Stuffed Soft Toy (Dark Blue, Orange)","CAAJU Animal Stuffed Soft Toy (Dark Blue, Orange)",CSTE MEESHO,Inactive,Paused,,,#N/A,,,,
CAAJU KOREAN BANDAIDS PACK,CAAJU KOREAN BANDAIDS PACK,CSTE MEESHO,Inactive,Paused,,,#N/A,,,,
hbd_brown_2_fba_,caaju wooden music box,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
Happy_bdy_musicbox,caaju wooden music box,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
CB_KOREA_EDITION_CREATIVE_ZERO_WALLET_MUSTACHE_D2,CB_KOREA_EDITION_CREATIVE_ZERO_WALLET_MUSTACHE_D2,CSTE MEESHO,Inactive,Paused,,,#N/A,,,,
cB-S44Cn,cB-S44Cn,CSTE MEESHO,,,,,#N/A,,,,
circle brown,circle brown,CSTE MEESHO,Active,,,#REF!,,,,,
MUSICBOX_WIFE,cj-sunshine-wife,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
CLASSIC-CAR-01,CLASSIC-CAR-01,Rudrav Meesho,Inactive,pause,,,#N/A,,,,
CMB_FOX_DESIGN_ORANGE,CMB_FOX_DESIGN_ORANGE,CSTE MEESHO,Active,Combo,,,#N/A,,,,
CMB_GREEN_MUG,CMB_GREEN_MUG,CSTE MEESHO,Active,Combo,,,#N/A,,,,
CMB_GUN_DESIGN,CMB_GUN_DESIGN,CSTE MEESHO,Active,Combo,,,#N/A,,,,
CMB_UNICORN_CUP_WITH_SPOON,CMB_UNICORN_CUP_WITH_SPOON,CSTE MEESHO,Active,Combo,,,#N/A,,,,
CMB_UNICORN_TUMBLER_PINK,CMB_UNICORN_TUMBLER_PINK,CSTE MEESHO,Active,Combo,,,#N/A,,,,
CMB_UNICORN_TUMBLER_PURPLE,CMB_UNICORN_TUMBLER_PURPLE,CSTE MEESHO,Active,Combo,,,#N/A,,,,
CMB_UNICORN_WHITE,CMB_UNICORN_WHITE,CSTE MEESHO,Active,Combo,,,#N/A,,,,
combo 12,combo 12,CSTE MEESHO,In Progress,,,,#N/A,,,,
combo 18`,combo 18`,CSTE MEESHO,In Progress,,,,#N/A,,,,
combo doll,combo doll,Rudrav Meesho,Inactive,"Paused, Combo",,,#N/A,,,,
Combo_Spin_wheel_Heart_MB_FBA,Combo_Spin_wheel_Heart_MB,CSTE AMAZON,Inactive,Deleted,,,#REF!,,,,
combo1,combo1,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo10,combo10,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo11,combo11,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo112,combo112,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo12,combo12,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo120,combo120,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo13,combo13,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo131,combo131,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo132,combo132,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo14,combo14,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo144,combo144,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo15,combo15,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo151,combo151,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo16,combo16,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo161,combo161,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo2,combo2,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo3,combo3,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo4,combo4,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo5,combo5,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
combo6,combo6,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
COMBO7,COMBO7,CSTE MEESHO,Inactive,"Paused, Combo",,,#N/A,,,,
