Product Name,msku,Opening Stock
Pink Fur SG,CSTE_0145_SG_Fur_Pink,0
Blue Wings SG,CSTE_0146_SG_Wings_Blue,0
Green Butterfly SG,CSTE_0147_SG_ButterFly_Green,2
RedGreen Butterfly SG,CSTE_0148_SG_ButterFly_RedGreen,19
Pink ButterFly SG,CSTE_0149_SG_ButterFly_Pink,1
Blue-Purple Butterfly SG,CSTE_0150_SG_ButterFly_BluePurple,2
Yellow CloudChian SG,CSTE_0151_SG_CloudChain_Yellow,0
Pink CloudChain SG,CSTE_0152_SG_CloudChain_Pink,0
Red FireFlame SG,CSTE_0153_SG_FireFlame_Red,0
Purple FireGlass,CSTE_0154_SG_FireGlass_Purple,0
Red FireGlass,CSTE_0155_SG_FireGlass_Red,0
Yellow Fireglass,CSTE_0156_SG_FireGlass_Yellow,4
Green Fireglass,CSTE_0157_SG_FireGlass_Green,7
Red Thunder SG,CSTE_0158_SG_Thunder_Red,0
 Black IceMelt SG,CSTE_0159_SG_IceMelt_Black,0
MercuryGreen FireGlass,CSTE_0160_SG_FireGlass_MercuryGreen,4
MercuryOrange Fireglass,CSTE_0161_SG_FireGlass_MercuryOrange,0
MercuryPink Fireglass,CSTE_0162_SG_FireGlass_MercuryPink,5
MercuryPurple Fireglass,CSTE_0163_SG_FireGlass_MercuryPurple,0
MercuryRed Fireglass,CSTE_0164_SG_FireGlass_MercuryRed,0
Pink Square SG,CSTE_0165_SG_Square_OffWhite,6
Orange FireGlass,CSTE_0166_SG_FireGlass_Orange,0
Pink Oval SG,CSTE_0167_SG_Oval_Pink,0
Pink Heart SG,CSTE_0168_SG_Heart_Pink,0
Cream Square SG,CSTE_0169_SG_Sqaure_Creame,23
Purple Thunder SG,CSTE_0170_SG_Thunder_Purple,0
Purple TransparentHeart SG,CSTE_0171_SG_TransparentHeart_Purple,0
Purple Square SG,CSTE_0172_SG_Square_Purple,14
Red BigHeart SG,CSTE_0173_SG_Heart_Red,0
Red Oval SG,CSTE_0174_SG_Oval_Red,45
Silver FireGlass,CSTE_0175_SG_FireGlass_Silver,0
White SmallSquare SG,CSTE_0176_SG_SmallSquare_White,11
Black Square-Golden SG,CSTE_0177_SG_Square/Golden_Black,0
Pink Sqaure SG,CSTE_0178_SG_Square_Pink,0
Pink Star SG,CSTE_0179_SG_Star_Pink,0
Purple Star SG,CSTE_0180_SG_Star_Purple,0
Blue Star SG,CSTE_0181_SG_Star_Blue,0
Red Star SG,CSTE_0182_SG_Star_Red,0
Black Star SG,CSTE_0183_SG_Star_Black,0
TigerPrint Sqaure SG,CSTE_0184_SG_Sqaure/small_TigerPrint,19
Red TransparentHeart SG,CSTE_0185_SG_TransparentHeart_Red,0
Pink TransparentSqaure SG,CSTE_0186_SG_TransparentSqaure_Pink,0
White BigHeart SG,CSTE_0187_SG_BigHeart_Yellow,0
Yellow LittleStar SG,CSTE_0188_SG_LittleStar_Yellow,0
Transparent Circle MB,CSTE_0189_MB_Transparent_Circle,0
MH A5 Black MB,CSTE_0190_MB_MHA5_Black,0
MH A2 Brown MB,CSTE_0191_MB_MHA2_Brown,2
MH A3 Black MB,CSTE_0192_MB_MHA3_Black,0
MH A6 Black MB,CSTE_0193_MB_MHA6_Black,0
MH 3Joker Brown MB,CSTE_0194_MB_MH3Joker_Brown,4
MH A13 MB,CSTE_0195_MB_MHA13_Brown,1
MH A2 Black MB,CSTE_0196_MB_MHA2_Black,0
MH All Black MB,CSTE_0197_MB_MHAll_Black,0
MH A15 Brown MB,CSTE_0198_MB_MHA15_Brown,10
MH A8 Brown MB,CSTE_0199_MB_MHA8_Brown,1
MH LaCasaDePapel Brown MB,CSTE_0200_MB_MHLasaCasaDePapel_Brown,2
MH LaCasaDePapel Black MB,CSTE_0201_MB_MHLasaCasaDePapel_Black,0
MH A16 Brown MB,CSTE_0202_MB_MHA16_Brown,9
MH A14 Brown MB,CSTE_0203_MB_MHA14_Brown,4
MH A12 Brown MB,CSTE_0204_MB_MHA12_Brown,17
MH A10 Brown MB,CSTE_0205_MB_MHA10_Brown,14
MH A9 Brown MB,CSTE_0206_MB_MHA9_Brown,18
MH BellaCiao Black MB,CSTE_0207_MB_BellaCiao_Black,0
MH BellaCiao Brown MB,CSTE_0208_MB_BellaCiao_Brown,0
YouAreMySunshine Transparent MB,CSTE_0209_MB_YouAreMySunshine_Transparent,0
MH A17 Tokyo MB,CSTE_0210_MB_MHA17_Tokyo,6
Blue Feather Glasss,CSTE_0211_SG_Feather_Blue,0
Yellow Feather Glasses,CSTE_0212_SG_Feather_Yellow,0
Black Butterfly Sunglass,CSTE_0213_SG_ButterFly_Black,0
BluePink Butterfly Sunglass,CSTE_0214_SG_ButterFly_BluePink,0
Green Wings Sunglasses,CSTE_0215_SG_Wings_Green,0
Black Wings Sunglasses,CSTE_0216_SG_Wings_Black,0
ThugLife Thin,CSTE_0217_SG_ThugLife_Thin,624
ThugLife Big,CSTE_0218_SG_ThugLife_Big,0
ThugLife Red,CSTE_0219_SG_ThugLife_Red,0
ThuLife Blue,CSTE_0220_SG_ThugLife_Blue,1
Black FireFlame SunGlass,CSTE_0221_SG_Fireflame_Black,0
Black Oval Big Sunglass,CSTE_0222_SG_Oval_Black_Big,0
Oval Cream Brown SunGlass,CSTE_0223_SG_Oval_Cream_brown,4
Square Big Pink Sunglasses,CSTE_0224_SG_BigSquare_Pink,17
TigerPrint Sqaure SG,CSTE_0225_SG_Square/Big_TigerPrint,8
Square Black Big SG,CSTE_0226_SG_Square/Big_Black,12
Square Transparent Glass,CSTE_0227_SG_Square/Transparent_Purple,0
DoubleShade Star SG,CSTE_0228_SG_Star_DoubleShade,0
Brown Chairmat,CSTE_0229_HD_Chairmat_Round_Brown,3
Red Flower Furmat,CSTE_0230_HD_Rug_Furmat_RedFlower,0
Cow Furmat,CSTE_0231_HD_Rug_Furmat_RoundCowPrint,2
Red Sqaure Furmat,CSTE_0232_HD_Rug_Furmat_RedSqaure,0
Peach White Furmat,CSTE_0233_HD_Rug_Furmat_PeachCircle,1
Grey Circle Chairmat,CSTE_0234_HD_Chairmat_Round_Grey,0
Sqaure Grey Pillow,CSTE_0235_HD_Pillow_GreySquare,0
Heart Red Pillow,CSTE_0236_HD_Pillow_Red Heart,0
Brown Pillow Cover,CSTE_0237_HD_PillowCover_Brown,1
Pink Pillow Cover,CSTE_0238_HD_PiillowCover_Pink,27
White heart SG,CSTE_0239_SG_Heart_White,0
Red wing SG,CSTE_0240_SG_Wings_Red,3
iloveyou daddy mb,CSTE_0241_MB_iloveyoudaddy_Brown,0
White Butterfly SG,CSTE_0242_SG_ButterFly_White,0
Yellow wings SG,CSTE_0243_SG_Wings_Yellow,0
Side star Black SG,CSTE_0244_SG_SideStar_Black,0
Side star Yellow SG,CSTE_0245_SG_SideStar_Yellow,0
Side Star pink SG,CSTE_0246_SG_SideStar_Pink,0
Thunder Green SG,CSTE_0247_SG_Thunder_Green,0
Cateye Onion SG,CSTE_0248_SG_Cateye_Onion,0
Round Black SG,CSTE_0249_SG_Round_Black,0
Butterfly red yellow SG ,CSTE_0250_SG_ButterFly_RedYellow,0
Butterfly Lightgreen Pink,CSTE_0251_SG_ButterFly_LightgreenPink,0
Jaguar SG,CSTE_0252_SG_Jaguar_,0
Melted Heart red SG,CSTE_0253_SG_MeltedHeart_Red,0
Butterfly Pink Yellow SG,CSTE_0254_SG_ButterFly_Pinkyellow,0
Butterfly Red SG,CSTE_0255_SG_ButterFly_Red,0
Butterfly Blue,CSTE_0256_SG_ButterFly_Blue,1
Thunder Blue SG,CSTE_0257_SG_Thunder_Blue,0
Avengers MB,CSTE_0258_MB_Avengers,0
PromiseNeverLand Character,CSTE_0259_MB_PromiseNL_Character,0
Pirates Davy Jones,CSTE_0260_MB_Pirate_DavyJones,0
Pirates Jack Sparrow,CSTE_0261_MB_Pirate_JackSparrow,0
Brave Wife,CSTE_0262_MB_Brave WIfe,0
BTS-chimmy-van,CSTE_0263_ST_chimmy_van,0
BTS-rj-shooky,CSTE_0264_ST_rj_shooky,0
BTS-rj-shooky-van-,CSTE_0265_ST_rj_shooky_van,0
BTS-RJ-tata,CSTE_0266_ST_RJ_tata,0
BTS-shooky-tata,CSTE_0267_ST_shooky_tata,0
BTS-cooky-Chimmy,CSTE_0268_ST_cooky_Chimmy,0
BTS-KOYA-Cooky,CSTE_0269_ST_KOYA_Cooky,0
BTS-Chimmy-RJ,CSTE_0270_ST_Chimmy_RJ,0
BTS-koya-rj-shooky-cooky,CSTE_0271_ST_koya_rj_shooky_cooky,0
BTS-cooky-van,CSTE_0272_ST_cooky_van,0
BTS-koya-rj-shooky-chimmy,CSTE_0273_ST_koya_rj_shooky_chimmy,0
BTS-koya-rj-shooky-tata,CSTE_0274_ST_koya_rj_shooky_tata,0
BTS-cooky-koya-rj-tata,CSTE_0275_ST_cooky_koya_rj_tata,0
BTS-cooky-shooky,CSTE_0276_ST_cooky_shooky,0
BTS-chimmy-cooky-koya-Shooky,CSTE_0277_ST_chimmy_cooky_koya_Shooky,0
BTS-cooky-tata,CSTE_0278_ST_cooky_tata,0
BTS-shooky-van,CSTE_0279_ST_shooky_van,0
BTS-Koya-van,CSTE_0280_ST_Koya_van,0
BTS-shooky-tata-chimmy-cooky,CSTE_0281_ST_shooky_tata_chimmy_cooky,0
BTS-Koya-tata,CSTE_0282_ST_Koya_tata,0
BTS-chimmy-cooky-koya-tata,CSTE_0283_ST_chimmy_cooky_koya_tata,0
BTS-Chimmy-Shooky,CSTE_0284_ST_Chimmy_Shooky,0
